"","champion","sum_total","win_total","lose_total","winrate_total","sum_blue_side","win_blue_side","lose_blue_side","winrate_blue_side","sum_red_side","win_red_side","lose_red_side","winrate_red_side","matches_less_25_min","win_lose_less_25_min","winrate_less_25_min","matches_25_to_30_min","win_lose_25_to_30_min","winrate_25_30_min","matches_30_35_min","win_lose_30_35_min","winrate_30_35_min","matches_35_40_min","win_lose_35_40_min","winrate_35_40_min","matches_40_45_min","win_lose_40_45_min","winrate_40_45_min","matches_more_45_min","win_lose_more_45_min","winrate_more_45_min"
"61","Ekko","5","1","4","20%","3","0","3","0%","2","1","1","50%","0","0-0","0%","2","1-1","50%","0","0-0","0%","3","0-3","0%","0","0-0","0%","0","0-0","0%"
"62","Karthus","5","1","4","20%","4","1","3","25%","1","0","1","0%","1","0-1","0%","1","0-1","0%","0","0-0","0%","1","0-1","0%","2","1-1","50%","0","0-0","0%"
"63","Ashe","4","2","2","50%","1","1","0","100%","3","1","2","33%","0","0-0","0%","1","0-1","0%","3","2-1","67%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"64","Fiora","4","2","2","50%","2","1","1","50%","2","1","1","50%","0","0-0","0%","1","1-0","100%","1","0-1","0%","0","0-0","0%","2","1-1","50%","0","0-0","0%"
"65","Karma","4","2","2","50%","4","2","2","50%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%","3","1-2","33%","0","0-0","0%","0","0-0","0%"
"66","Quinn","4","2","2","50%","2","1","1","50%","2","1","1","50%","0","0-0","0%","1","0-1","0%","2","2-0","100%","1","0-1","0%","0","0-0","0%","0","0-0","0%"
"67","Sivir","4","2","2","50%","3","1","2","33%","1","1","0","100%","0","0-0","0%","0","0-0","0%","1","0-1","0%","1","1-0","100%","2","1-1","50%","0","0-0","0%"
"68","Caitlyn","4","0","4","0%","2","0","2","0%","2","0","2","0%","0","0-0","0%","0","0-0","0%","4","0-4","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"69","Draven","3","2","1","67%","1","0","1","0%","2","2","0","100%","1","1-0","100%","1","1-0","100%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"70","Jinx","3","1","2","33%","2","1","1","50%","1","0","1","0%","0","0-0","0%","2","0-2","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"71","Poppy","3","1","2","33%","0","0","0","0%","3","1","2","33%","0","0-0","0%","1","0-1","0%","0","0-0","0%","1","1-0","100%","1","0-1","0%","0","0-0","0%"
"72","Fiddlesticks","2","2","0","100%","1","1","0","100%","1","1","0","100%","0","0-0","0%","0","0-0","0%","1","1-0","100%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"73","Vayne","2","2","0","100%","2","2","0","100%","0","0","0","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%"
"74","Hecarim","2","1","1","50%","1","0","1","0%","1","1","0","100%","0","0-0","0%","1","1-0","100%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"75","Jhin","2","1","1","50%","0","0","0","0%","2","1","1","50%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%","1","0-1","0%"
"76","Kha'Zix","2","1","1","50%","2","1","1","50%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%"
"77","Lulu","2","1","1","50%","1","1","0","100%","1","0","1","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%"
"78","Sejuani","2","0","2","0%","2","0","2","0%","0","0","0","0%","0","0-0","0%","2","0-2","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"79","Sylas","2","0","2","0%","2","0","2","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%"
"80","Jax","1","1","0","100%","0","0","0","0%","1","1","0","100%","0","0-0","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"81","Kog'Maw","1","1","0","100%","1","1","0","100%","0","0","0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%"
"82","Malphite","1","1","0","100%","0","0","0","0%","1","1","0","100%","0","0-0","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"83","Pantheon","1","1","0","100%","1","1","0","100%","0","0","0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%"
"84","Urgot","1","1","0","100%","0","0","0","0%","1","1","0","100%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%"
"85","Yorick","1","1","0","100%","1","1","0","100%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","1-0","100%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"86","Anivia","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"87","Bard","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%"
"88","Braum","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%"
"89","Lux","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"90","Nidalee","1","0","1","0%","1","0","1","0%","0","0","0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"91","Rengar","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"92","Sona","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%"
"93","Vi","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"94","Viktor","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"95","Volibear","1","0","1","0%","1","0","1","0%","0","0","0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"96","Xin Zhao","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
"97","Ziggs","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","1","0-1","0%"
"98","Zilean","1","0","1","0%","0","0","0","0%","1","0","1","0%","0","0-0","0%","1","0-1","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%","0","0-0","0%"
